Stock Quotes for XLB,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
12/22/1998,20.78125,20.828119,20.75,20.828119,1900,13.981781
12/23/1998,20.96875,21.140619,20.96875,21.046881,700,14.128634
12/24/1998,21.296881,21.53125,21.203119,21.53125,1500,14.453788
12/28/1998,21.5,21.5,21.3125,21.34375,2500,14.327921
12/29/1998,21.734381,21.734381,21.734381,21.734381,100,14.590148
12/30/1998,21.71875,21.71875,21.671881,21.671881,800,14.548193
12/31/1998,21.859381,22,21.859381,21.921881,3300,14.716016
1/4/1999,21.9375,22.25,21.65625,21.65625,13000,14.5377
1/5/1999,21.859381,22.296881,21.859381,22.1875,4400,14.894324
1/6/1999,22.328119,22.578119,22.21875,22.578119,12900,15.156545
1/7/1999,22.46875,23.390619,22.328119,22.40625,86200,15.04117
1/8/1999,22.609381,23.171881,22.609381,23.171881,25200,15.555133
1/11/1999,23.1875,23.21875,23,23.21875,14200,15.586596
1/12/1999,23.015619,23.125,22.578119,22.625,5100,15.188015
1/13/1999,21.953119,22.375,21.953119,22.125,5500,14.852369
1/14/1999,22.1875,22.21875,21.5625,21.75,127300,14.600634
1/15/1999,22,22.078119,21.890619,22.078119,15800,14.820898
1/19/1999,22,22,21.515619,21.671881,26700,14.548193
1/20/1999,21.671881,21.828119,21.578119,21.59375,40900,14.495744
1/21/1999,21.59375,21.625,21.390619,21.5,59900,14.43281
1/22/1999,21.28125,21.359381,21.046881,21.078119,7000,14.149604
1/25/1999,21.296881,21.5,21.21875,21.5,29300,14.43281
1/26/1999,21.421881,21.4375,21.1875,21.4375,1800,14.390854
1/27/1999,21.828119,21.828119,21.265619,21.265619,15100,14.275472
1/28/1999,21.390619,21.390619,21,21,6800,14.097163
1/29/1999,20.953119,21.109381,20.953119,21.109381,400,14.17059
2/1/1999,21.28125,21.5,21.28125,21.28125,2900,14.285965
2/2/1999,21.203119,21.375,21.1875,21.296881,2800,14.296458
2/3/1999,21.3125,21.390619,21.25,21.3125,1100,14.306943
2/4/1999,21.359381,22.015619,21.359381,21.9375,6800,14.726501
2/5/1999,22.046881,22.4375,22.046881,22.234381,44400,14.925795
2/8/1999,22.296881,22.359381,22.03125,22.125,22300,14.852369
2/9/1999,22.125,22.125,21.703119,21.703119,14200,14.569163
2/10/1999,21.859381,21.859381,21.65625,21.75,4900,14.600634
2/11/1999,21.625,21.828119,21.53125,21.53125,10100,14.453788
2/12/1999,21.5625,21.625,21.421881,21.421881,2500,14.380369
2/16/1999,21.828119,21.828119,21.21875,21.21875,6300,14.244009
2/17/1999,21.125,21.421881,21,21,5100,14.097163
2/18/1999,21.046881,21.1875,20.921881,21.15625,31000,14.202053
2/19/1999,21.234381,21.359381,21.1875,21.328119,8100,14.317428
2/22/1999,21.25,21.75,21.25,21.6875,10000,14.558678
2/23/1999,21.734381,21.75,21.375,21.5,5300,14.43281
2/24/1999,21.8125,21.8125,21.4375,21.4375,2800,14.390854
2/25/1999,21.3125,21.4375,21.25,21.4375,6800,14.390854
2/26/1999,21.4375,21.4375,21.4375,21.4375,700,14.390854
3/1/1999,21.28125,21.296881,21.1875,21.1875,2100,14.223031
3/2/1999,21.234381,21.4375,21,21,47700,14.097163
3/3/1999,21.265619,21.265619,20.859381,20.859381,3900,14.002767
3/4/1999,20.84375,21.125,20.84375,20.921881,2900,14.044722
3/5/1999,21.171881,21.625,21.171881,21.625,4200,14.516722
3/8/1999,21.4375,21.765619,21.4375,21.765619,6700,14.611119
3/9/1999,21.65625,21.65625,21.5,21.578119,5600,14.485251
3/10/1999,21.59375,21.96875,21.546881,21.875,26800,14.684545
3/11/1999,21.984381,22.21875,21.9375,22.109381,13900,14.841884
3/12/1999,22.296881,22.359381,22.015619,22.015619,7900,14.778942
3/15/1999,22.015619,22.15625,21.90625,22.0625,6700,14.810413
3/16/1999,22.03125,22.09375,21.953119,21.96875,7500,14.747479
3/17/1999,22.078119,22.078119,21.875,21.90625,3500,14.705523
3/18/1999,22.140619,22.375,22.015619,22.375,11300,15.020192
3/19/1999,22.625,22.625,22.328119,22.328119,5300,15.039132
3/22/1999,22.234381,22.46875,22.234381,22.390619,24900,15.081229
3/23/1999,22.28125,22.28125,21.703119,21.828119,16700,14.702356
3/24/1999,21.734381,22,21.6875,21.84375,76000,14.712884
3/25/1999,21.84375,22.125,21.84375,21.921881,3800,14.765509
3/26/1999,21.703119,21.90625,21.625,21.75,4200,14.649739
3/29/1999,21.984381,22.21875,21.921881,22.109381,5300,14.8918
3/30/1999,22.09375,22.09375,21.84375,22.0625,16500,14.860223
3/31/1999,21.9375,22.046881,21.71875,21.75,10600,14.649739
4/1/1999,21.78125,22.171881,21.78125,22,12300,14.818126
4/5/1999,22.0625,22.421881,22.0625,22.265619,11900,14.997035
4/6/1999,22.140619,22.265619,21.875,21.875,52800,14.733933
4/7/1999,22,22.1875,21.9375,22.109381,45200,14.8918
4/8/1999,22.078119,22.421881,22.046881,22.421881,12000,15.102285
4/9/1999,22.09375,22.453119,22.09375,22.3125,25100,15.028611
4/12/1999,22.3125,23.015619,22.3125,22.96875,16200,15.470629
4/13/1999,23.140619,23.296881,23.015619,23.25,68000,15.660065
4/14/1999,23.40625,24.921881,23.25,24.375,300700,16.417811
4/15/1999,24.6875,25.859381,24.6875,25.3125,1005500,17.049265
4/16/1999,25.46875,25.890619,25.375,25.59375,170800,17.238701
4/19/1999,25.59375,26.84375,25.59375,25.859381,864200,17.417617
4/20/1999,25.921881,25.9375,25.453119,25.546881,140800,17.207132
4/21/1999,25.71875,25.84375,25.421881,25.65625,83200,17.280798
4/22/1999,25.6875,25.71875,25,25.25,86900,17.007168
4/23/1999,25.125,25.6875,25.125,25.625,127400,17.25975
4/26/1999,25.75,25.75,25.296881,25.375,38100,17.091362
4/27/1999,25.3125,26,25.1875,25.875,84500,17.428137
4/28/1999,26,27.375,26,27.25,138200,18.35427
4/29/1999,27.3125,27.796881,27.3125,27.453119,733600,18.491081
4/30/1999,27.4375,27.625,26.765619,27.125,527700,18.270076
5/3/1999,27.21875,27.84375,27.125,27.75,181000,18.691046
5/4/1999,27.921881,28.015619,27.390619,27.578119,415700,18.575275
5/5/1999,27.640619,28.03125,27.328119,27.90625,293900,18.796288
5/6/1999,27.90625,28.25,27.6875,28.140619,139600,18.954148
5/7/1999,28.140619,28.3125,27.765619,28.203119,32100,18.996245
5/10/1999,28.203119,28.484381,27.953119,28.046881,84600,18.89101
5/11/1999,28.140619,28.21875,27.6875,28,152800,18.859434
5/12/1999,27.921881,27.921881,27.046881,27.296881,167300,18.385847
5/13/1999,27.109381,27.40625,27.03125,27.1875,126900,18.312173
5/14/1999,27.15625,27.484381,27.046881,27.109381,36800,18.259556
5/17/1999,27.109381,27.265619,26.8125,27.078119,23600,18.2385
5/18/1999,26.96875,26.984381,26.203119,26.421881,53100,17.79649
5/19/1999,26.421881,26.828119,26.34375,26.6875,55400,17.975398
5/20/1999,26.796881,26.90625,26.34375,26.375,36500,17.764913
5/21/1999,26.25,26.59375,26.1875,26.359381,10300,17.754393
5/24/1999,26.390619,26.890619,26.125,26.25,35000,17.680719
5/25/1999,26.484381,26.640619,26,26,123400,17.512331
5/26/1999,25.578119,25.890619,25.5,25.75,46400,17.343943
5/27/1999,25.578119,25.6875,25,25.15625,35100,16.944022
5/28/1999,25.046881,25.25,24.65625,24.65625,49400,16.607247
6/1/1999,24.90625,25.90625,24.859381,25.71875,215900,17.322895
6/2/1999,25.78125,25.78125,25.375,25.6875,11700,17.301846
6/3/1999,25.625,25.890619,25.515619,25.765619,57600,17.354464
6/4/1999,25.765619,26.34375,25.625,26.25,5500,17.680719
6/7/1999,26.375,26.5625,26.25,26.328119,13900,17.733336
6/8/1999,26.203119,26.40625,25.90625,26,44700,17.512331
6/9/1999,26.046881,26.40625,25.75,25.75,90300,17.343943
6/10/1999,25.78125,26.1875,25.78125,26.1875,59900,17.638622
6/11/1999,26.3125,26.484381,25.953119,25.953119,3400,17.480755
6/14/1999,26.3125,26.84375,26.3125,26.578119,222900,17.901724
6/15/1999,26.75,27.015619,26.640619,26.8125,62700,18.059592
6/16/1999,26.9375,26.9375,26.5,26.921881,100700,18.133265
6/17/1999,26.78125,27.015619,26.59375,27.015619,35700,18.196403
6/18/1999,26.890619,27.03125,26.8125,27,8600,18.242605
6/21/1999,27.078119,27.078119,26.34375,26.34375,66400,17.799208
6/22/1999,26.4375,26.4375,25.9375,26,56100,17.566953
6/23/1999,26,26.1875,25.78125,26.125,7700,17.651409
6/24/1999,26.03125,26.03125,25.53125,25.53125,101900,17.250241
6/25/1999,25.5625,25.984381,25.5625,25.6875,38000,17.355811
6/28/1999,25.9375,26.28125,25.9375,26.171881,85300,17.683084
6/29/1999,25.9375,26.015619,25.828119,26.015619,6900,17.577506
6/30/1999,26,26.328119,25.84375,26,27100,17.566953
7/1/1999,26.140619,26.484381,25.96875,26.25,13700,17.735866
7/2/1999,26.375,26.8125,26.375,26.78125,54600,18.094806
7/6/1999,26.875,26.875,26.53125,26.65625,15200,18.010349
7/7/1999,26.65625,26.65625,26.4375,26.5,38700,17.904779
7/8/1999,26.40625,26.75,26.25,26.3125,85900,17.778094
7/9/1999,26.28125,26.984381,26.28125,26.734381,31700,18.063139
7/12/1999,26.625,26.734381,26.5,26.5625,10100,17.947007
7/13/1999,26.40625,26.671881,26.40625,26.546881,11800,17.936454
7/14/1999,26.5625,26.8125,26.390619,26.40625,18200,17.841436
7/15/1999,26.359381,26.5,26,26,69700,17.566953
7/16/1999,26.234381,26.328119,26.109381,26.234381,10500,17.725313
7/19/1999,26.296881,26.296881,25.71875,25.984381,9900,17.5564
7/20/1999,25.84375,26.125,25.8125,25.9375,13600,17.524724
