Stock Quotes for XLE,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
12/22/1998,23.3125,23.390619,23.1875,23.265619,15200,17.211898
12/23/1998,23.34375,23.75,23.3125,23.75,67800,17.570242
12/24/1998,23.8125,23.8125,23.59375,23.625,12300,17.477767
12/28/1998,23.75,23.75,23.34375,23.5,13500,17.385292
12/29/1998,23.5625,23.734381,23.34375,23.734381,22000,17.558687
12/30/1998,23.71875,23.71875,23.359381,23.375,21800,17.292817
12/31/1998,23.34375,23.34375,23.21875,23.34375,13000,17.269699
1/4/1999,23.28125,23.75,23.28125,23.328119,28600,17.258135
1/5/1999,23.46875,23.46875,23.171881,23.203119,42700,17.16566
1/6/1999,23.46875,24,23.3125,23.96875,56400,17.732074
1/7/1999,23.96875,23.984381,23.578119,23.859381,72600,17.651162
1/8/1999,24,24.5625,23.375,23.96875,421100,17.732074
1/11/1999,23.75,23.78125,23.4375,23.515619,35000,17.396848
1/12/1999,23.5,23.59375,23.125,23.15625,89200,17.130986
1/13/1999,22.75,23.1875,22.6875,22.8125,42400,16.87668
1/14/1999,22.75,22.875,22.375,22.375,70000,16.553018
1/15/1999,22.5625,22.75,22.453119,22.71875,10700,16.807324
1/19/1999,22.8125,22.8125,22.53125,22.71875,12800,16.807324
1/20/1999,22.59375,22.8125,22.515619,22.53125,15800,16.668612
1/21/1999,22.53125,22.90625,22.5,22.71875,23900,16.807324
1/22/1999,22.75,22.8125,22.5625,22.59375,19300,16.714849
1/25/1999,22.6875,22.6875,22.375,22.5625,18200,16.69173
1/26/1999,22.59375,22.59375,22.15625,22.34375,25700,16.529899
1/27/1999,22.375,22.375,21.875,21.9375,37100,16.229355
1/28/1999,22,22,21.625,21.8125,30800,16.13688
1/29/1999,21.6875,21.8125,21.4375,21.8125,18600,16.13688
2/1/1999,21.8125,21.875,21.59375,21.59375,23100,15.975049
2/2/1999,21.625,21.8125,21.53125,21.625,26500,15.998168
2/3/1999,21.75,22.25,21.75,22.125,29400,16.368068
2/4/1999,22.125,22.3125,22.0625,22.25,26000,16.460543
2/5/1999,22.3125,22.9375,22.1875,22.875,66000,16.922918
2/8/1999,22.96875,23.1875,22.9375,23.1875,31100,17.154105
2/9/1999,23.21875,23.21875,22.75,22.75,64300,16.830443
2/10/1999,22.84375,23.0625,22.6875,22.8125,69300,16.87668
2/11/1999,22.71875,22.71875,22.28125,22.625,216800,16.737968
2/12/1999,22.375,22.625,22.15625,22.15625,242300,16.391187
2/16/1999,22.328119,22.4375,21.78125,22,36600,16.275593
2/17/1999,21.875,22.09375,21.75,21.78125,41700,16.113762
2/18/1999,21.75,21.96875,21.53125,21.84375,83000,16.159999
2/19/1999,21.9375,21.96875,21.53125,21.71875,130300,16.067524
2/22/1999,21.875,22,21.6875,21.9375,79500,16.229355
2/23/1999,22,22.09375,21.75,21.75,309600,16.090643
2/24/1999,21.8125,22.09375,21.65625,21.65625,34500,16.021287
2/25/1999,21.640619,21.90625,21.625,21.765619,44600,16.102198
2/26/1999,21.84375,22,21.625,21.625,24900,15.998168
